dataset_id,dataset_label,method_id,method_label,method_category,h_mae,p50_ms,p95_ms,peak_memory_mib,inference_parameters,task_update_parameters,resource_measurement_id,resource_measurement_scope,resource_binding_note,quality_source
D1,FaceScape,full,FrugalFace3D-Lite,本文模型,0.159496,654.632912000,716.548775700,81.778808594,3912850,89386,full,RTX4090_FP32_batch1_end_to_end,direct frozen method measurement,table_S13_descriptive_median
D1,FaceScape,b_lite,固定权重 B-lite,固定权重基线,0.194946,632.324015000,665.569709350,80.963378906,3722094,0,b_lite,RTX4090_FP32_batch1_end_to_end,direct frozen method measurement,table_S13_descriptive_median
D1,FaceScape,b_lite_ft,B-lite 同任务微调,同任务适配对照,0.121156,632.324015000,665.569709350,80.963378906,3722094,122164,b_lite,RTX4090_FP32_batch1_end_to_end,same_inference_graph_as_b_lite; uses frozen b_lite architecture measurement,table_S13_descriptive_median
D1,FaceScape,lama,LaMa-UV,通用修复参照,0.167394,664.473478000,704.440583900,273.871582031,54575805,0,lama_big,RTX4090_FP32_batch1_end_to_end,direct frozen method measurement,table_S13_descriptive_median
D1,FaceScape,zits,ZITS-UV,通用修复参照,0.312142,1110.471120000,1154.116767800,902.011718750,81832602,0,zits,RTX4090_FP32_batch1_end_to_end,direct frozen method measurement,table_S13_descriptive_median
D1,FaceScape,freeuv_conserved,FreeUV（已观测纹理保持输出）,统一 UV 输入下的人脸 UV 参照,0.193537,5298.157673500,5366.840709200,7741.328125000,1719377701,0,freeuv_raw,RTX4090_FP32_batch1_end_to_end,end_to_end timing includes observed-texture-preserving projection; separate 64x64 projection microbenchmark p50 0.0507 ms does not adjust total,table_S13_descriptive_median
D2,REALY,full,FrugalFace3D-Lite,本文模型,0.198950,654.632912000,716.548775700,81.778808594,3912850,89386,full,RTX4090_FP32_batch1_end_to_end,direct frozen method measurement,table_S13_descriptive_median
D2,REALY,b_lite,固定权重 B-lite,固定权重基线,0.209193,632.324015000,665.569709350,80.963378906,3722094,0,b_lite,RTX4090_FP32_batch1_end_to_end,direct frozen method measurement,table_S13_descriptive_median
D2,REALY,b_lite_ft,B-lite 同任务微调,同任务适配对照,0.214174,632.324015000,665.569709350,80.963378906,3722094,122164,b_lite,RTX4090_FP32_batch1_end_to_end,same_inference_graph_as_b_lite; uses frozen b_lite architecture measurement,table_S13_descriptive_median
D2,REALY,lama,LaMa-UV,通用修复参照,0.193866,664.473478000,704.440583900,273.871582031,54575805,0,lama_big,RTX4090_FP32_batch1_end_to_end,direct frozen method measurement,table_S13_descriptive_median
D2,REALY,zits,ZITS-UV,通用修复参照,0.275901,1110.471120000,1154.116767800,902.011718750,81832602,0,zits,RTX4090_FP32_batch1_end_to_end,direct frozen method measurement,table_S13_descriptive_median
D2,REALY,freeuv_conserved,FreeUV（已观测纹理保持输出）,统一 UV 输入下的人脸 UV 参照,0.247419,5298.157673500,5366.840709200,7741.328125000,1719377701,0,freeuv_raw,RTX4090_FP32_batch1_end_to_end,end_to_end timing includes observed-texture-preserving projection; separate 64x64 projection microbenchmark p50 0.0507 ms does not adjust total,table_S13_descriptive_median
