source_view,target_view,comparison_id,median_effect,pair_count,identity_count,effect_definition,positive_favors,median_effect_rgb8,ci95_identity_bootstrap_low,ci95_identity_bootstrap_high,positive_identity_count,zero_identity_count,negative_identity_count,analysis_status,input_csv
V01,V02,full_vs_condition0,0.0032310097416714395,100,100,comparator_minus_full,FrugalFace3D-Lite,0.8239074841262171,-0.0016889139572963258,0.0059832551184741956,57,0,43,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V01,V02,full_vs_b_lite_ft,-0.0014906307789204765,100,100,comparator_minus_full,FrugalFace3D-Lite,-0.3801108486247215,-0.014006688723724986,0.022927816769089365,49,0,51,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V01,V02,full_vs_freeuv_conserved,0.01156368439434334,100,100,comparator_minus_full,FrugalFace3D-Lite,2.948739520557552,0.003972283629099974,0.02149616351679845,63,0,37,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V01,V03,full_vs_condition0,-0.0016100559829392014,100,100,comparator_minus_full,FrugalFace3D-Lite,-0.4105642756494964,-0.004550317490910297,0.0012381321026219208,43,0,57,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V01,V03,full_vs_b_lite_ft,0.036596699725710335,100,100,comparator_minus_full,FrugalFace3D-Lite,9.332158430056136,0.02247074321799336,0.05166123329828945,71,0,29,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V01,V03,full_vs_freeuv_conserved,0.04314258357598669,100,100,comparator_minus_full,FrugalFace3D-Lite,11.001358811876605,0.03528988943832622,0.06516088837136824,80,0,20,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V01,V04,full_vs_condition0,0.002350484075622619,100,100,comparator_minus_full,FrugalFace3D-Lite,0.5993734392837679,-0.0011165535875728994,0.006166365501042936,57,0,43,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V01,V04,full_vs_b_lite_ft,0.0033914634484856904,100,100,comparator_minus_full,FrugalFace3D-Lite,0.864823179363851,-0.015079790474595262,0.014643880022327221,52,0,48,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V01,V04,full_vs_freeuv_conserved,0.014523690604433745,100,100,comparator_minus_full,FrugalFace3D-Lite,3.703541104130605,0.0016934571778378371,0.02278364084306217,61,0,39,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V02,V01,full_vs_condition0,-0.0031840165651001034,100,100,comparator_minus_full,FrugalFace3D-Lite,-0.8119242241005263,-0.006548399174654884,0.0013872869086987705,43,0,57,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V02,V01,full_vs_b_lite_ft,-0.0011370365068109622,100,100,comparator_minus_full,FrugalFace3D-Lite,-0.2899443092367954,-0.005502428486418895,0.0062295166812106895,49,0,51,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V02,V01,full_vs_freeuv_conserved,0.03060977112458456,100,100,comparator_minus_full,FrugalFace3D-Lite,7.805491636769062,0.015013363921011333,0.04112420588910504,70,0,30,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V02,V03,full_vs_condition0,-0.0008786823979958364,100,100,comparator_minus_full,FrugalFace3D-Lite,-0.22406401148893829,-0.0034713628315205802,0.0021352704082216734,47,0,53,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
V02,V03,full_vs_b_lite_ft,0.000650900094295026,100,100,comparator_minus_full,FrugalFace3D-Lite,0.16597952404523164,-0.010072648122503941,0.010362581896762812,51,0,49,EXPLORATORY_NO_SIGNIFICANCE_TEST,robustness/REALY_DIRECTION_EFFECT_SUMMARY.csv
