dataset_id,metric_id,support_threshold_texels,identity_token,total_h_valid_pair_count,retained_pair_count,retained_fraction,included_in_identity_effect
D1,hidden_uv_mae,1,D1-I001,8,8,1.0,True
D1,hidden_uv_mae,1,D1-I002,8,8,1.0,True
D1,hidden_uv_mae,1,D1-I003,8,8,1.0,True
D1,hidden_uv_mae,1,D1-I004,8,8,1.0,True
D1,hidden_uv_mae,1,D1-I005,8,8,1.0,True
D1,hidden_uv_mae,1,D1-I006,8,8,1.0,True
D1,hidden_uv_mae,1,D1-I007,8,8,1.0,True
D1,hidden_uv_mae,1,D1-I008,8,8,1.0,True
D1,hidden_uv_mae,1,D1-I009,8,8,1.0,True
D1,hidden_uv_mae,1,D1-I010,8,8,1.0,True
D1,hidden_uv_mae,1,D1-I011,6,6,1.0,True
D1,hidden_uv_mae,1,D1-I012,4,4,1.0,True
D1,hidden_uv_mae,1,D1-I013,4,4,1.0,True
D1,hidden_uv_mae,1,D1-I014,8,8,1.0,True
D1,hidden_uv_mae,1,D1-I015,8,8,1.0,True
D1,hidden_uv_mae,1,D1-I016,8,8,1.0,True
D1,hidden_uv_mae,1,D1-I017,6,6,1.0,True
D1,hidden_uv_mae,1,D1-I018,8,8,1.0,True
D1,hidden_uv_mae,1,D1-I019,8,8,1.0,True
D1,hidden_uv_mae,1,D1-I020,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I001,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I002,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I003,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I004,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I005,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I006,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I007,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I008,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I009,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I010,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I011,6,6,1.0,True
D1,hidden_uv_mae,5,D1-I012,4,4,1.0,True
D1,hidden_uv_mae,5,D1-I013,4,4,1.0,True
D1,hidden_uv_mae,5,D1-I014,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I015,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I016,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I017,6,6,1.0,True
D1,hidden_uv_mae,5,D1-I018,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I019,8,8,1.0,True
D1,hidden_uv_mae,5,D1-I020,8,8,1.0,True
D1,hidden_uv_mae,10,D1-I001,8,8,1.0,True
D1,hidden_uv_mae,10,D1-I002,8,7,0.875,True
D1,hidden_uv_mae,10,D1-I003,8,8,1.0,True
D1,hidden_uv_mae,10,D1-I004,8,7,0.875,True
D1,hidden_uv_mae,10,D1-I005,8,8,1.0,True
D1,hidden_uv_mae,10,D1-I006,8,8,1.0,True
D1,hidden_uv_mae,10,D1-I007,8,8,1.0,True
D1,hidden_uv_mae,10,D1-I008,8,8,1.0,True
D1,hidden_uv_mae,10,D1-I009,8,7,0.875,True
D1,hidden_uv_mae,10,D1-I010,8,8,1.0,True
D1,hidden_uv_mae,10,D1-I011,6,6,1.0,True
D1,hidden_uv_mae,10,D1-I012,4,3,0.75,True
D1,hidden_uv_mae,10,D1-I013,4,3,0.75,True
D1,hidden_uv_mae,10,D1-I014,8,8,1.0,True
D1,hidden_uv_mae,10,D1-I015,8,7,0.875,True
D1,hidden_uv_mae,10,D1-I016,8,8,1.0,True
D1,hidden_uv_mae,10,D1-I017,6,6,1.0,True
D1,hidden_uv_mae,10,D1-I018,8,6,0.75,True
D1,hidden_uv_mae,10,D1-I019,8,8,1.0,True
D1,hidden_uv_mae,10,D1-I020,8,8,1.0,True
D1,hidden_uv_mae,20,D1-I001,8,8,1.0,True
D1,hidden_uv_mae,20,D1-I002,8,4,0.5,True
D1,hidden_uv_mae,20,D1-I003,8,5,0.625,True
D1,hidden_uv_mae,20,D1-I004,8,7,0.875,True
D1,hidden_uv_mae,20,D1-I005,8,8,1.0,True
D1,hidden_uv_mae,20,D1-I006,8,8,1.0,True
D1,hidden_uv_mae,20,D1-I007,8,8,1.0,True
D1,hidden_uv_mae,20,D1-I008,8,4,0.5,True
D1,hidden_uv_mae,20,D1-I009,8,6,0.75,True
D1,hidden_uv_mae,20,D1-I010,8,8,1.0,True
D1,hidden_uv_mae,20,D1-I011,6,6,1.0,True
D1,hidden_uv_mae,20,D1-I012,4,3,0.75,True
D1,hidden_uv_mae,20,D1-I013,4,2,0.5,True
