analysis_status,dataset_id,metric_id,comparison_id,method_id,comparator_id,support_threshold_texels,pair_count,total_identity_count,identity_count,identity_zero_pair_count,median_identity_effect,q1_identity_effect,q3_identity_effect,iqr_identity_effect,ci95_low,ci95_high,n_positive,n_zero,n_negative,median_identity_relative_effect,median_identity_relative_effect_percent,median_identity_effect_8bit_rgb,q1_identity_effect_8bit_rgb,q3_identity_effect_8bit_rgb,iqr_identity_effect_8bit_rgb,ci95_low_8bit_rgb,ci95_high_8bit_rgb,bootstrap_seed,bootstrap_resamples,new_p_value_generated,holm_recalculated,inference_conditioning
EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,D1,hidden_uv_mae,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,full,condition0,1,148,20,20,0,0.0015039987366555554,-0.002166606745372897,0.002651098476924801,0.004817705222297698,-0.0012275416179731297,0.0023281742091503417,13,0,7,0.007556344981630599,0.7556344981630599,0.3835196778471666,-0.5524847200700886,0.6760301116158243,1.228514831685913,-0.3130231125831481,0.5936844233333372,20260816,10000,False,False,five fixed trained models; FreeUV comparison additionally conditions on one frozen FreeUV generation
EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,D1,hidden_uv_mae,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,full,b_lite_ft,1,148,20,20,0,-0.03462474542283138,-0.047404012903285206,-0.023287721046738957,0.02411629185654625,-0.04376857737010315,-0.024841443672899928,1,0,19,-0.28730951802390003,-28.730951802390003,-8.829310082822001,-12.088023290337727,-5.9383688669184345,6.149654423419293,-11.160987229376303,-6.334568136589482,20260817,10000,False,False,five fixed trained models; FreeUV comparison additionally conditions on one frozen FreeUV generation
EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,D1,hidden_uv_mae,F2-MAE-PUBLIC::D1::full_vs_freeuv_conserved,full,freeuv_conserved,1,148,20,20,0,0.015879272568108026,-0.006620736672487693,0.03678767972526499,0.04340841639775268,0.0003129944349445045,0.03247873704850465,14,0,6,0.10111639614287068,10.111639614287068,4.049214504867547,-1.6882878514843616,9.380858329942573,11.069146181426934,0.07981358091084864,8.282077947368686,20260820,10000,False,False,five fixed trained models; FreeUV comparison additionally conditions on one frozen FreeUV generation
EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,D1,hidden_uv_mae,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,full,condition0,5,148,20,20,0,0.0015039987366555554,-0.002166606745372897,0.002651098476924801,0.004817705222297698,-0.0012275416179731297,0.0023281742091503417,13,0,7,0.007556344981630599,0.7556344981630599,0.3835196778471666,-0.5524847200700886,0.6760301116158243,1.228514831685913,-0.3130231125831481,0.5936844233333372,20260816,10000,False,False,five fixed trained models; FreeUV comparison additionally conditions on one frozen FreeUV generation
EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,D1,hidden_uv_mae,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,full,b_lite_ft,5,148,20,20,0,-0.03462474542283138,-0.047404012903285206,-0.023287721046738957,0.02411629185654625,-0.04376857737010315,-0.024841443672899928,1,0,19,-0.28730951802390003,-28.730951802390003,-8.829310082822001,-12.088023290337727,-5.9383688669184345,6.149654423419293,-11.160987229376303,-6.334568136589482,20260817,10000,False,False,five fixed trained models; FreeUV comparison additionally conditions on one frozen FreeUV generation
EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,D1,hidden_uv_mae,F2-MAE-PUBLIC::D1::full_vs_freeuv_conserved,full,freeuv_conserved,5,148,20,20,0,0.015879272568108026,-0.006620736672487693,0.03678767972526499,0.04340841639775268,0.0003129944349445045,0.03247873704850465,14,0,6,0.10111639614287068,10.111639614287068,4.049214504867547,-1.6882878514843616,9.380858329942573,11.069146181426934,0.07981358091084864,8.282077947368686,20260820,10000,False,False,five fixed trained models; FreeUV comparison additionally conditions on one frozen FreeUV generation
EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,D1,hidden_uv_mae,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,full,condition0,10,140,20,20,0,0.0011619499542916273,-0.0016345407859910815,0.002651098476924801,0.004285639262915883,-0.001050974255324244,0.002212831660980269,13,0,7,0.007127723347883537,0.7127723347883537,0.29629723834436494,-0.4168079004277258,0.6760301116158243,1.0928380120435501,-0.26799843510768223,0.5642720735499686,20260816,10000,False,False,five fixed trained models; FreeUV comparison additionally conditions on one frozen FreeUV generation
EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,D1,hidden_uv_mae,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,full,b_lite_ft,10,140,20,20,0,-0.03971460915315839,-0.047586506628479824,-0.023486632879923662,0.024099873748556162,-0.04382594393350532,-0.02737771989615244,0,0,20,-0.30357098766799284,-30.357098766799282,-10.127225334055389,-12.134559190262355,-5.989091384380534,6.145467805881822,-11.175615703043857,-6.981318573518872,20260817,10000,False,False,five fixed trained models; FreeUV comparison additionally conditions on one frozen FreeUV generation
EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,D1,hidden_uv_mae,F2-MAE-PUBLIC::D1::full_vs_freeuv_conserved,full,freeuv_conserved,10,140,20,20,0,0.014664079097813976,-0.006620736672487693,0.0307882308862746,0.03740896755876229,-0.004405339925114916,0.027388446902367636,12,0,8,0.07315317923810848,7.315317923810848,3.739340169942564,-1.6882878514843616,7.850998876000022,9.539286727484383,-1.1233616809043037,6.984053960103747,20260820,10000,False,False,five fixed trained models; FreeUV comparison additionally conditions on one frozen FreeUV generation
EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,D1,hidden_uv_mae,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,full,condition0,20,119,20,20,0,7.915214710438323e-05,-0.002166606745372897,0.002429513866096482,0.004596120611469379,-0.0013820174164805021,0.0019743121608325857,10,0,10,0.0006180369306239837,0.061803693062398364,0.020183797511617724,-0.5524847200700886,0.619526035854603,1.1720107559246917,-0.3524144412025281,0.5034496010123094,20260816,10000,False,False,five fixed trained models; FreeUV comparison additionally conditions on one frozen FreeUV generation
EXPLORATORY_SUPPORT_SENSITIVITY_NO_NEW_TEST,D1,hidden_uv_mae,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,full,b_lite_ft,20,119,20,20,0,-0.040016598728640204,-0.050017681511892745,-0.020445351526075593,0.02957232998581715,-0.04929846476422105,-0.02571597515460991,0,0,20,-0.36036677003545814,-36.03667700354581,-10.204232675803253,-12.75450878553265,-5.2135646391492765,7.5409441463833735,-12.571108514876368,-6.557573664425527,20260817,10000,False,False,five fixed trained models; FreeUV comparison additionally conditions on one frozen FreeUV generation
