direction_index,direction,source_view,target_view,comparison_id,comparator_id,comparator_label,metric_id,effect_definition,positive_favors,pair_count,identity_count,median_identity_effect,median_identity_effect_rgb8,ci95_identity_bootstrap_low,ci95_identity_bootstrap_high,positive_identity_count,zero_identity_count,negative_identity_count,bootstrap_resamples,bootstrap_seed,analysis_status,seed_2026080447_median_identity_effect,seed_2026080448_median_identity_effect,seed_2026080449_median_identity_effect,seed_2026080450_median_identity_effect,seed_2026080451_median_identity_effect
0,V01→V02,V01,V02,full_vs_condition0,condition0,NoCond,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.0032310097416714395,0.8239074841262171,-0.0016889139572963258,0.0059832551184741956,57,0,43,10000,2026082301,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.005150082799962444,0.006412672539702208,-0.0011170083172936246,-0.003915948767819963,-0.0027967100766928404
0,V01→V02,V01,V02,full_vs_b_lite_ft,b_lite_ft,B-lite 同任务微调,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,-0.0014906307789204765,-0.3801108486247215,-0.014006688723724986,0.022927816769089365,49,0,51,10000,2026082302,EXPLORATORY_NO_SIGNIFICANCE_TEST,-0.00614669825881721,-0.0005190038177032702,0.0019034466355224017,-0.003597239899706353,0.005273276719675271
0,V01→V02,V01,V02,full_vs_freeuv_conserved,freeuv_conserved,FreeUV（已观测纹理保持）,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.01156368439434334,2.948739520557552,0.003972283629099974,0.02149616351679845,63,0,37,10000,2026082303,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.018515133435527478,0.007861420548848669,0.005691751099664674,0.01089045565595953,0.012494505460583047
1,V01→V03,V01,V03,full_vs_condition0,condition0,NoCond,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,-0.0016100559829392014,-0.4105642756494964,-0.004550317490910297,0.0012381321026219208,43,0,57,10000,2026082311,EXPLORATORY_NO_SIGNIFICANCE_TEST,-0.007335353106486087,0.0019676543160765947,-0.0036493080253360635,-0.0008538005770080681,-0.0033153221241117997
1,V01→V03,V01,V03,full_vs_b_lite_ft,b_lite_ft,B-lite 同任务微调,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.036596699725710335,9.332158430056136,0.02247074321799336,0.05166123329828945,71,0,29,10000,2026082312,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.018392126096619492,0.03577856100892224,0.04322705024646388,0.03714823435854028,0.03803288932132688
1,V01→V03,V01,V03,full_vs_freeuv_conserved,freeuv_conserved,FreeUV（已观测纹理保持）,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.04314258357598669,11.001358811876605,0.03528988943832622,0.06516088837136824,80,0,20,10000,2026082313,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.041033696889061055,0.040690473163093654,0.04971503496471076,0.05675860587692272,0.04826280041462276
2,V01→V04,V01,V04,full_vs_condition0,condition0,NoCond,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.002350484075622619,0.5993734392837679,-0.0011165535875728994,0.006166365501042936,57,0,43,10000,2026082321,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.004591507083188354,0.0065749870144551845,-0.002969460408375778,0.00022548739892263442,0.0013311259696722338
2,V01→V04,V01,V04,full_vs_b_lite_ft,b_lite_ft,B-lite 同任务微调,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.0033914634484856904,0.864823179363851,-0.015079790474595262,0.014643880022327221,52,0,48,10000,2026082322,EXPLORATORY_NO_SIGNIFICANCE_TEST,-0.006963311064038025,-0.005765453273973722,0.0033120037064331975,0.004452590473795537,0.0038489443603866164
2,V01→V04,V01,V04,full_vs_freeuv_conserved,freeuv_conserved,FreeUV（已观测纹理保持）,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,0.014523690604433745,3.703541104130605,0.0016934571778378371,0.02278364084306217,61,0,39,10000,2026082323,EXPLORATORY_NO_SIGNIFICANCE_TEST,0.013617433629344367,0.009088180123990958,0.009462711441594225,0.010608025507682611,0.015066743142439484
3,V02→V01,V02,V01,full_vs_condition0,condition0,NoCond,hidden_uv_mae,comparator_minus_full,FrugalFace3D-Lite,100,100,-0.0031840165651001034,-0.8119242241005263,-0.006548399174654884,0.0013872869086987705,43,0,57,10000,2026082331,EXPLORATORY_NO_SIGNIFICANCE_TEST,-0.007890158661235228,-0.004093950290121537,0.005167819084233277,0.0017122724117376725,-0.006482566327408519
