direction_index,direction,source_view,target_view,pair_count,identity_count,h_count,h_min,h_q1,h_median,h_mean,h_q3,h_max,a_count,a_min,a_q1,a_median,a_mean,a_q3,a_max,h_over_a_count,h_over_a_min,h_over_a_q1,h_over_a_median,h_over_a_mean,h_over_a_q3,h_over_a_max,h_ge_1_pair_count,h_ge_5_pair_count,h_ge_10_pair_count,h_ge_20_pair_count,h_ge_50_pair_count
0,V01→V02,V01,V02,100,100,100,17,33.0,44.0,46.91,58.25,94,100,1251,1286.0,1298.0,1297.5,1310.25,1341,100,0.012791572610985704,0.02527382782475019,0.033666142718733624,0.03617455875932,0.04562452522454087,0.0724191063174114,100,100,100,96,41
1,V01→V03,V01,V03,100,100,100,2,10.75,14.5,18.43,23.0,66,100,1243,1292.75,1310.0,1304.97,1319.0,1333,100,0.001520912547528517,0.008132641017965101,0.011125228282718756,0.014074798883059257,0.017530610389701204,0.050037907505686124,100,96,76,34,5
2,V01→V04,V01,V04,100,100,100,13,31.75,44.0,46.49,58.0,95,100,1238,1280.5,1298.5,1296.17,1310.0,1343,100,0.010093167701863354,0.02493208728260549,0.034161490683229816,0.03590177180307103,0.04506552666823546,0.07207890743550835,100,100,100,98,35
3,V02→V01,V02,V01,100,100,100,9,42.0,53.0,53.66,65.25,97,100,1251,1293.75,1306.0,1304.25,1318.0,1339,100,0.007009345794392523,0.032482831040262755,0.0407694478846337,0.041160749379778094,0.04976200300627781,0.07565011820330969,100,100,99,97,60
4,V02→V03,V02,V03,100,100,100,12,42.0,54.0,54.06,65.5,103,100,1243,1292.75,1310.0,1304.97,1319.0,1333,100,0.009324009324009324,0.032513514406596083,0.041392096614178045,0.04140882095714613,0.05135550453230012,0.07750188111361926,100,100,100,97,60
5,V02→V04,V02,V04,100,100,100,2,8.0,14.0,16.51,22.0,60,100,1238,1280.5,1298.5,1296.17,1310.0,1343,100,0.00156128024980484,0.006164521677243342,0.010769237141560438,0.012673568912744189,0.016765114561955313,0.045906656465187455,100,91,67,31,1
6,V03→V01,V03,V01,100,100,100,2,8.0,15.5,17.71,24.25,59,100,1251,1293.75,1306.0,1304.25,1318.0,1339,100,0.0015151515151515152,0.006207816612992303,0.011833546424271837,0.013531772975537069,0.018563205949394493,0.04490106544901065,100,91,73,33,2
7,V03→V02,V03,V02,100,100,100,20,32.75,43.5,46.59,57.0,92,100,1251,1286.0,1298.0,1297.5,1310.25,1341,100,0.01583531274742676,0.025441519443168907,0.03374739886779501,0.03589446931420353,0.04377887943792881,0.06985573272589218,100,100,100,100,40
8,V03→V04,V03,V04,100,100,100,18,33.0,44.0,46.26,56.0,91,100,1238,1280.5,1298.5,1296.17,1310.0,1343,100,0.014084507042253521,0.025014279864702584,0.03389164350526432,0.035675500432192,0.04300422474302252,0.06964006259780908,100,100,100,98,37
9,V04→V01,V04,V01,100,100,100,12,39.75,53.0,54.57,67.0,122,100,1251,1293.75,1306.0,1304.25,1318.0,1339,100,0.00909090909090909,0.03023342352180173,0.04033132530120482,0.04187014857830147,0.05140589703959102,0.09450038729666925,100,100,100,97,59
10,V04→V02,V04,V02,100,100,100,1,7.0,14.0,17.84,24.0,67,100,1251,1286.0,1298.0,1297.5,1310.25,1341,100,0.0007627765064836003,0.005412720498319927,0.01068320825821839,0.013697945155036377,0.01864441597989221,0.049962714392244596,100,89,61,34,4
11,V04→V03,V04,V03,100,100,100,15,40.75,52.5,55.06,68.25,122,100,1243,1292.75,1310.0,1304.97,1319.0,1333,100,0.011252813203300824,0.031136269168184065,0.040075620095071145,0.04217248474883891,0.0517696541424008,0.0915915915915916,100,100,100,97,59
