family_id,comparison_id,metric_id,dataset_id,comparator_id,identity_count,median_identity_effect,q1_identity_effect,q3_identity_effect,iqr_identity_effect,ci95_low,ci95_high,n_positive,n_zero,n_negative,p_raw_two_sided_exact_sign,p_holm_within_family,median_identity_relative_effect,median_identity_relative_effect_percent,relative_effect_defined_identity_count,median_identity_effect_8bit_rgb,q1_identity_effect_8bit_rgb,q3_identity_effect_8bit_rgb,iqr_identity_effect_8bit_rgb,ci95_low_8bit_rgb,ci95_high_8bit_rgb,bootstrap_seed,bootstrap_resamples,inference_conditioning
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,20,0.0015039987366555554,-0.002166606745372897,0.002651098476924801,0.004817705222297698,-0.0012275416179731297,0.0023281742091503417,13,0,7,0.26317596435546875,0.26642123841442666,0.007556344981630599,0.7556344981630599,20,0.3835196778471666,-0.5524847200700886,0.6760301116158243,1.228514831685913,-0.3130231125831481,0.5936844233333372,20260816,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,20,-0.03462474542283138,-0.047404012903285206,-0.023287721046738957,0.02411629185654625,-0.04376857737010315,-0.024841443672899928,1,0,19,4.00543212890625e-05,0.00016021728515625,-0.28730951802390003,-28.730951802390003,20,-8.829310082822001,-12.088023290337727,-5.9383688669184345,6.149654423419293,-11.160987229376303,-6.334568136589482,20260817,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D2::full_vs_condition0,hidden_uv_mae,D2,condition0,100,-0.001082746879551566,-0.004468486568298367,0.0022288938810064857,0.006697380449304853,-0.002222212702402665,-0.0001098148910309571,39,0,61,0.03520020021770481,0.10560060065311444,-0.005287310687652033,-0.5287310687652034,100,-0.27610045428564933,-1.1394640749160836,0.5683679396566539,1.7078320145727375,-0.5666642391126796,-0.02800279721289406,20260818,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D2::full_vs_b_lite_ft,hidden_uv_mae,D2,b_lite_ft,100,0.004635047140117317,-0.00627492261315345,0.022575593996660297,0.028850516609813748,-0.0011966175158266562,0.014578707678805286,58,0,42,0.13321061920721333,0.26642123841442666,0.020360958314388847,2.036095831438885,100,1.1819370207299158,-1.6001052663541298,5.756776469148376,7.356881735502506,-0.3051374665357973,3.717570458095348,20260819,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F2-MAE-PUBLIC,F2-MAE-PUBLIC::D1::full_vs_freeuv_conserved,hidden_uv_mae,D1,freeuv_conserved,20,0.015879272568108026,-0.006620736672487693,0.03678767972526499,0.04340841639775268,0.0003129944349445045,0.03247873704850465,14,0,6,0.11531829833984375,0.11531829833984375,0.10111639614287068,10.111639614287068,20,4.049214504867547,-1.6882878514843616,9.380858329942573,11.069146181426934,0.07981358091084864,8.282077947368686,20260820,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F2-MAE-PUBLIC,F2-MAE-PUBLIC::D2::full_vs_freeuv_conserved,hidden_uv_mae,D2,freeuv_conserved,100,0.026762738352281247,0.008424020118978352,0.04907385708561782,0.040649836966639465,0.020048727501127225,0.034543144198538156,86,0,14,8.284451872080076e-14,1.6568903744160152e-13,0.12538955069696442,12.538955069696442,100,6.824498279831718,2.14812513033948,12.513833556832543,10.365708426493063,5.112425512787443,8.80850177062723,20260821,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F3-LPIPS,F3-LPIPS::D1::full_vs_condition0,lpips_alex_v0_1,D1,condition0,20,6.560049951076508e-05,-0.0002135327085852623,0.00018075387924909592,0.0003942865878343582,-0.0001757536083459854,0.000158604234457016,11,0,9,0.8238029479980469,0.968236827214583,0.00028202340294158,0.028202340294158003,20,,,,,,,20260822,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F3-LPIPS,F3-LPIPS::D1::full_vs_b_lite_ft,lpips_alex_v0_1,D1,b_lite_ft,20,-0.0029917070642113686,-0.006150991655886173,-0.0019352743402123451,0.004215717315673828,-0.005483999848365784,-0.002117827534675598,2,0,18,0.0004024505615234375,0.00160980224609375,-0.022214828411940668,-2.221482841194067,20,,,,,,,20260823,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F3-LPIPS,F3-LPIPS::D1::full_vs_freeuv_conserved,lpips_alex_v0_1,D1,freeuv_conserved,20,-0.004269183613359928,-0.007136112079024315,-0.0023802821524441242,0.004755829926580191,-0.00653780996799469,-0.002527310512959957,1,0,19,4.00543212890625e-05,0.0002002716064453125,-0.03114842943586113,-3.114842943586113,20,,,,,,,20260824,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F3-LPIPS,F3-LPIPS::D2::full_vs_condition0,lpips_alex_v0_1,D2,condition0,100,-3.205984830856323e-05,-0.00010504014790058136,6.497092545032501e-05,0.00017001107335090637,-4.780180752277373e-05,1.6879290342330933e-05,44,0,56,0.2712530240738347,0.8137590722215042,-0.00028172480635183775,-0.028172480635183773,100,,,,,,,20260825,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F3-LPIPS,F3-LPIPS::D2::full_vs_b_lite_ft,lpips_alex_v0_1,D2,b_lite_ft,100,5.6896358728408813e-05,-0.00026333704590797424,0.00040264520794153214,0.0006659822538495064,-6.767734885215759e-05,0.00015138927847146988,54,0,46,0.4841184136072915,0.968236827214583,0.0005479758959860665,0.05479758959860665,100,,,,,,,20260826,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F3-LPIPS,F3-LPIPS::D2::full_vs_freeuv_conserved,lpips_alex_v0_1,D2,freeuv_conserved,100,-0.0008780863136053085,-0.0016680704429745674,-0.0004062708467245102,0.0012617995962500572,-0.001177717000246048,-0.0007087439298629761,10,0,90,3.063290175437985e-17,1.837974105262791e-16,-0.008211532248822883,-0.8211532248822883,100,,,,,,,20260827,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F4-SFACE,F4-SFACE::D1::full_vs_condition0,sface_source_to_render_cosine,D1,condition0,19,-8.885316707069046e-05,-0.0003615196324739389,0.001006865982646099,0.001368385615120038,-0.00034139516621528587,0.000542093700395152,9,0,10,1.0,1.0,,,0,,,,,,,20260828,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F4-SFACE,F4-SFACE::D1::full_vs_b_lite_ft,sface_source_to_render_cosine,D1,b_lite_ft,19,-0.0012463914015672928,-0.004224181774294039,0.0021132831885620207,0.00633746496285606,-0.004010481957231082,0.0012162379188766503,9,0,10,1.0,1.0,,,0,,,,,,,20260829,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F4-SFACE,F4-SFACE::D1::full_vs_freeuv_conserved,sface_source_to_render_cosine,D1,freeuv_conserved,19,0.004545007097795595,0.0004658275845135784,0.007831896104901703,0.007366068520388125,0.00047060555329309084,0.007822846896555102,16,0,3,0.004425048828125,0.022125244140625,,,0,,,,,,,20260830,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F4-SFACE,F4-SFACE::D2::full_vs_condition0,sface_source_to_render_cosine,D2,condition0,100,3.050031344312143e-05,-0.00017178842458290267,0.0002962679487255454,0.00046805637330844807,-6.5945289493829495e-06,0.0001357293771774848,57,0,43,0.19334790449564246,0.7733916179825698,,,0,,,,,,,20260831,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F4-SFACE,F4-SFACE::D2::full_vs_b_lite_ft,sface_source_to_render_cosine,D2,b_lite_ft,100,0.0001656295843545652,-0.00045994882126780545,0.0009952458414429627,0.0014551946627107681,-0.00013239692181596374,0.0005968427313807201,54,0,46,0.4841184136072915,1.0,,,0,,,,,,,20260832,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
F4-SFACE,F4-SFACE::D2::full_vs_freeuv_conserved,sface_source_to_render_cosine,D2,freeuv_conserved,100,0.0015576763587890896,-0.00018595518767897112,0.0035243974058208616,0.0037103525934998327,0.001015447906471345,0.002342084919048748,74,0,26,1.667362649450101e-06,1.0004175896700606e-05,,,0,,,,,,,20260833,10000,five fixed trained models; FreeUV comparisons additionally condition on one frozen FreeUV generation
