family_id,comparison_id,metric_id,dataset_id,comparator_id,identity_count,minimum_confirmatory_identity_count,confirmatory_coverage_eligible,excluded_identity_count,median_identity_effect,median_identity_relative_effect,relative_effect_defined_identity_count,ci95_low,ci95_high,n_positive,n_zero,n_negative,p_raw_two_sided_exact_sign,p_holm_within_family,confirmatory_full_favorable,confirmatory_full_unfavorable,confirmatory_indeterminate
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_condition0,hidden_uv_mae,D1,condition0,20,20,True,0,0.0015039987366555554,0.007556344981630599,20,-0.0012275416179731297,0.0023281742091503417,13,0,7,0.26317596435546875,0.26642123841442666,False,False,True
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D1::full_vs_b_lite_ft,hidden_uv_mae,D1,b_lite_ft,20,20,True,0,-0.03462474542283138,-0.28730951802390003,20,-0.04376857737010315,-0.024841443672899928,1,0,19,4.00543212890625e-05,0.00016021728515625,False,True,False
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D2::full_vs_condition0,hidden_uv_mae,D2,condition0,100,100,True,0,-0.001082746879551566,-0.005287310687652033,100,-0.002222212702402665,-0.0001098148910309571,39,0,61,0.03520020021770481,0.10560060065311444,False,False,True
F1-MAE-ATTRIBUTION,F1-MAE-ATTRIBUTION::D2::full_vs_b_lite_ft,hidden_uv_mae,D2,b_lite_ft,100,100,True,0,0.004635047140117317,0.020360958314388847,100,-0.0011966175158266562,0.014578707678805286,58,0,42,0.13321061920721333,0.26642123841442666,False,False,True
F2-MAE-PUBLIC,F2-MAE-PUBLIC::D1::full_vs_freeuv_conserved,hidden_uv_mae,D1,freeuv_conserved,20,20,True,0,0.015879272568108026,0.10111639614287068,20,0.0003129944349445045,0.03247873704850465,14,0,6,0.11531829833984375,0.11531829833984375,False,False,True
F2-MAE-PUBLIC,F2-MAE-PUBLIC::D2::full_vs_freeuv_conserved,hidden_uv_mae,D2,freeuv_conserved,100,100,True,0,0.026762738352281247,0.12538955069696442,100,0.020048727501127225,0.034543144198538156,86,0,14,8.284451872080076e-14,1.6568903744160152e-13,True,False,False
F3-LPIPS,F3-LPIPS::D1::full_vs_condition0,lpips_alex_v0_1,D1,condition0,20,20,True,0,6.560049951076508e-05,0.00028202340294158,20,-0.0001757536083459854,0.000158604234457016,11,0,9,0.8238029479980469,0.968236827214583,False,False,True
F3-LPIPS,F3-LPIPS::D1::full_vs_b_lite_ft,lpips_alex_v0_1,D1,b_lite_ft,20,20,True,0,-0.0029917070642113686,-0.022214828411940668,20,-0.005483999848365784,-0.002117827534675598,2,0,18,0.0004024505615234375,0.00160980224609375,False,True,False
F3-LPIPS,F3-LPIPS::D1::full_vs_freeuv_conserved,lpips_alex_v0_1,D1,freeuv_conserved,20,20,True,0,-0.004269183613359928,-0.03114842943586113,20,-0.00653780996799469,-0.002527310512959957,1,0,19,4.00543212890625e-05,0.0002002716064453125,False,True,False
F3-LPIPS,F3-LPIPS::D2::full_vs_condition0,lpips_alex_v0_1,D2,condition0,100,100,True,0,-3.205984830856323e-05,-0.00028172480635183775,100,-4.780180752277373e-05,1.6879290342330933e-05,44,0,56,0.2712530240738347,0.8137590722215042,False,False,True
F3-LPIPS,F3-LPIPS::D2::full_vs_b_lite_ft,lpips_alex_v0_1,D2,b_lite_ft,100,100,True,0,5.6896358728408813e-05,0.0005479758959860665,100,-6.767734885215759e-05,0.00015138927847146988,54,0,46,0.4841184136072915,0.968236827214583,False,False,True
F3-LPIPS,F3-LPIPS::D2::full_vs_freeuv_conserved,lpips_alex_v0_1,D2,freeuv_conserved,100,100,True,0,-0.0008780863136053085,-0.008211532248822883,100,-0.001177717000246048,-0.0007087439298629761,10,0,90,3.063290175437985e-17,1.837974105262791e-16,False,True,False
F4-SFACE,F4-SFACE::D1::full_vs_condition0,sface_source_to_render_cosine,D1,condition0,19,18,True,1,-8.885316707069046e-05,,0,-0.00034139516621528587,0.000542093700395152,9,0,10,1.0,1.0,False,False,True
F4-SFACE,F4-SFACE::D1::full_vs_b_lite_ft,sface_source_to_render_cosine,D1,b_lite_ft,19,18,True,1,-0.0012463914015672928,,0,-0.004010481957231082,0.0012162379188766503,9,0,10,1.0,1.0,False,False,True
F4-SFACE,F4-SFACE::D1::full_vs_freeuv_conserved,sface_source_to_render_cosine,D1,freeuv_conserved,19,18,True,1,0.004545007097795595,,0,0.00047060555329309084,0.007822846896555102,16,0,3,0.004425048828125,0.022125244140625,True,False,False
F4-SFACE,F4-SFACE::D2::full_vs_condition0,sface_source_to_render_cosine,D2,condition0,100,90,True,0,3.050031344312143e-05,,0,-6.5945289493829495e-06,0.0001357293771774848,57,0,43,0.19334790449564246,0.7733916179825698,False,False,True
F4-SFACE,F4-SFACE::D2::full_vs_b_lite_ft,sface_source_to_render_cosine,D2,b_lite_ft,100,90,True,0,0.0001656295843545652,,0,-0.00013239692181596374,0.0005968427313807201,54,0,46,0.4841184136072915,1.0,False,False,True
F4-SFACE,F4-SFACE::D2::full_vs_freeuv_conserved,sface_source_to_render_cosine,D2,freeuv_conserved,100,90,True,0,0.0015576763587890896,,0,0.001015447906471345,0.002342084919048748,74,0,26,1.667362649450101e-06,1.0004175896700606e-05,True,False,False
